Type,Width (mm),Height (mm)
"1/10""",1.28,0.96
"1/8""",1.6,1.2
"1/6""",2.4,1.8
"1/4""",3.6,2.7
"1/3.6""",4,3
"1/3.2""",4.54,3.42
"1/3.09""",4.66,3.5
Standard 8mm film frame,4.8,3.5
"1/3""",4.8,3.6
"1/2.9""",4.98,3.74
"1/2.7""",5.37,4.04
Super 8mm film frame,5.79,4.01
"1/2.5""",5.76,4.29
"1/2.3""",6.17,4.55
"1/2.3""",6.3,4.72
"1/2""",6.4,4.8
"1/1.8""",7.18,5.32
"1/1.7""",7.6,5.7
"1/1.6""",8.08,6.01
"2/3""",8.8,6.6
Standard 16mm film frame,10.26,7.49
"1/1.2""",10.67,8
Blackmagic PCC & Blackmagic Studio Camera,12.48,7.02
Super 16mm film frame,12.52,7.41
"1""",13.2,8.8
"1""",12.8,9.6
"1.1""",14.1,10.3
Blackmagic CC EF,15.81,8.88
Blackmagic PCC 4K,18.96,10
"Four Thirds, Micro Four Thirds (""4/3"", ""m4/3"")",17.3,13
Blackmagic Production Camera/URSA/URSA Mini 4K,21.12,11.88
"1.5"" Canon PowerShot G1 X Mark II",18.7,14
"""35mm"" 2 Perf Techniscope",21.95,9.35
original Sigma Foveon X3,20.7,13.8
RED DRAGON 4.5K (RAVEN),23,10.8
"""Super 35mm"" 2 Perf",24.89,9.35
"Canon EF-S, APS-C",22.3,14.9
Standard 35mm film frame (movie),22,16
Blackmagic URSA Mini/Pro 4.6K,25.34,14.25
"APS-C",23.7,15.6
Super 35mm film 3 Perf,24.89,13.86
RED DRAGON 5K S35,25.6,13.5
Super 35mm film 4 Perf,24.89,18.66
Canon APS-H,27.9,18.6
"ARRI ALEV III (ALEXA SXT, ALEXA MINI, AMIRA), RED HELIUM 8K S35",29.9,15.77
RED DRAGON 6K S35,30.7,15.8
"35mm film full-frame",36,24
ARRI ALEXA LF,36.7,25.54
RED MONSTRO 8K,40.96,21.6
Leica S,45,30
"Pentax 645D, Hasselblad X1D-50c, CFV-50c, Fuji GFX 50S",44,33
Standard 65mm film frame,52.48,23.01
ARRI ALEXA 65,54.12,25.58
Kodak KAF 39000 CCD[46],49,36.8
Leaf AFi 10,56,36
Medium-format (Hasselblad H5D-60)[47],53.7,40.2
"Phase One P 65+, IQ160, IQ180",53.9,40.4
Medium Format 6×4.5 (also called 645 format),42,56
Medium Format 6×6,56,56
IMAX film frame,70.41,52.63
Medium Format 6×7,70,56
Medium Format 6×8,76,56
Medium Format 6×9,84,56
Large Format 4×5,121,97
Large Format 5×7,178,127
Large Format 8×10,254,203
